commit	test_auc	train_auc	wall_clock_s	inference_s	peak_rss_mb	rows_seen_train	status	description
48ea0c6de3					46.9		crash	baseline: Variant Triage (ClinVar+REVEL time-holdout, LightGBM 1-thread, 10-min budget) | FileNotFoundError('/Users/adham/Downloads/remoroo_offline_engine/RooDo
c37f86caf9	0.9693	0.9851	1.39	0.02	183.5	14935	keep	fix: REVEL download URL (Zenodo record 7072866, not 7072985)
c37f86caf9	0.7018	0.8765	2.03	0.78	218.3	14935	neutral	fix: REVEL download URL (Zenodo record 7072866, not 7072985)
c37f86caf9	0.7018	0.8765	2.16	0.77	194.7	14935	neutral	fix: REVEL download URL (Zenodo record 7072866, not 7072985)
